Bit;SMARTS
KR275;[!#1][CH]1C(=NN(C1=O)c2c(F)c(F)c(F)c(F)c2F)[CH3]
KR276;[!#1][CH]1C(=O)[CH2]C([!#1])([CH3])[CH2]C1=O
KR277;[!#1][CH]1C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O
KR278;[!#1][CH]1C(=O)[NH]C(=O)[NH]C1=O
KR279;[!#1][CH]1C(=O)c2[cH][cH][cH][cH]c2C1=O
KR280;[!#1][CH]1c2[cH][cH][cH][cH]c2-c3[cH][cH][cH][cH]c13
KR281;[!#1][CH]1c2[cH][cH][cH][cH]c2Oc3[cH][cH][cH][cH]c13
KR282;[!#1][CH]1N([!#1])[CH2][CH2]c2[cH][cH][cH][cH]c12
KR283;[!#1][CH]1N(C(=O)N([!#1])C1([!#1])[CH3])c2[cH][cH][cH]c3[cH][cH][cH][cH]c23
KR284;[!#1][CH]1N(C(=O)N([!#1])C1([!#1])[CH3])c2[cH][cH]c([!#1])c([!#1])[cH]2
KR285;[!#1][CH]1N(C(=O)N([!#1])C1([CH3])[CH3])c2[cH][cH][cH]c3[cH][cH][cH][cH]c23
KR286;[!#1][CH]1N2[CH2][CH2][CH]([CH2][CH2]2)C1=O
KR287;[!#1][CH]1O[CH]([!#1])[CH]([!#1])[CH]([!#1])[CH]1[!#1]
KR288;[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH][cH]c(=O)[nH]c2=O
KR289;[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH]nc3c([!#1])n[cH]nc23
KR290;[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]([OH])[CH]1[OH]
KR291;[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]
KR292;[!#1][CH]1O[CH]([CH3])[CH]([OH])[CH]([OH])[CH]1[OH]
KR293;[!#1][CH]1O[CH2][CH2]O[CH]1[!#1]
KR294;[!#1][CH]1OC([!#1])([CH3])O[CH]1[!#1]
KR295;[!#1][CH]1S(=O)(=O)[CH2][CH]([CH2]S1(=O)=O)c2[cH][cH][cH][cH][cH]2
KR296;[!#1][CH]1S(c2[cH][cH][cH][cH]c2[NH]C1=O)
KR297;[!#1][CH2][!#1]
KR298;[!#1][CH2][CH]([!#1])[!#1]
KR299;[!#1][CH2][CH]([!#1])[CH3]
KR300;[!#1][CH2][CH]([!#1])[OH]
KR301;[!#1][CH2][CH]([!#1])C#[CH]
KR302;[!#1][CH2][CH]([!#1])C(=O)[!#1]
KR303;[!#1][CH2][CH]([!#1])C(=O)[NH][!#1]
KR304;[!#1][CH2][CH]([!#1])C(=O)[OH]
KR305;[!#1][CH2][CH]([!#1])C(=O)O[CH2][CH3]
KR306;[!#1][CH2][CH]([CH2][CH3])[NH]C(=O)[!#1]
KR307;[!#1][CH2][CH]([CH3])[CH3]
KR308;[!#1][CH2][CH]([CH3])[NH][CH2]C(=O)[NH][!#1]
KR309;[!#1][CH2][CH]([CH3])[NH]C(=O)[!#1]
KR310;[!#1][CH2][CH]([CH3])[NH2]
KR311;[!#1][CH2][CH]([CH3])[OH]
KR312;[!#1][CH2][CH]([CH3])O[!#1]
KR313;[!#1][CH2][CH]([CH3])S[CH2][CH3]
KR314;[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[NH][!#1]
KR315;[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[OH]
KR316;[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)O[CH2][CH3]
KR317;[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)O[CH3]
KR318;[!#1][CH2][CH]([NH]C(=O)[CH2]O[!#1])C(=O)[OH]
KR319;[!#1][CH2][CH]([NH]C(=O)[CH2]O[!#1])C(=O)O[CH3]
KR320;[!#1][CH2][CH]([NH]C(=O)[CH3])C(=O)[OH]
KR321;[!#1][CH2][CH]([NH]C(=O)[CH3])C(=O)O[CH2][CH3]
KR322;[!#1][CH2][CH]([NH]C(=O)OC([CH3])([CH3])[CH3])C(=O)O[!#1]
KR323;[!#1][CH2][CH]([NH]S(=O)(=O)[!#1])C(=O)[OH]
KR324;[!#1][CH2][CH]([NH]S(=O)(=O)[!#1])C(=O)O[CH3]
KR325;[!#1][CH2][CH]([NH2])C(=O)[OH]
KR326;[!#1][CH2][CH]([OH])[CH2][!#1]
KR327;[!#1][CH2][CH]([OH])[CH2][NH][!#1]
KR328;[!#1][CH2][CH]([OH])[CH2][OH]
KR329;[!#1][CH2][CH]([OH])[CH2]Br
KR330;[!#1][CH2][CH]([OH])[CH2]Cl
KR331;[!#1][CH2][CH]([OH])[CH2]N([!#1])[!#1]
KR332;[!#1][CH2][CH]([OH])[CH2]N([!#1])[CH3]
KR333;[!#1][CH2][CH]([OH])[CH2]N([CH2][CH2][OH])[CH2][CH2][OH]
KR334;[!#1][CH2][CH]([OH])[CH2]N([CH2][CH3])[CH2][CH3]
KR335;[!#1][CH2][CH]([OH])[CH2]N([CH3])[CH3]
