Bit;SMARTS
KR1358;[!#1]C(=O)[NH]N=[CH]c1[cH][nH]c2[cH][cH][cH][cH]c12
KR1359;[!#1]C(=O)[NH]N=[CH]c1[cH]c([cH][cH]c1[OH])[N+](=O)[O-]
KR1360;[!#1]C(=O)[NH]N=[CH]c1[cH]c([CH3])[cH][cH]c1[OH]
KR1361;[!#1]C(=O)[NH]N=[CH]c1[cH]c(Cl)[cH][cH]c1[OH]
KR1362;[!#1]C(=O)[NH]N=[CH]c1[cH]c(Cl)[cH]c(Cl)c1O[CH3]
KR1363;[!#1]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1[N+](=O)[O-]
KR1364;[!#1]C(=O)[NH]N=[CH]c1[cH]c2O[CH2]Oc2[cH]c1Br
KR1365;[!#1]C(=O)[NH]N=[CH]c1c([OH])[cH][cH]c2[cH][cH][cH][cH]c12
KR1366;[!#1]C(=O)[NH]N=[CH]c1nc2[cH][cH][cH][cH]c2[nH]1
KR1367;[!#1]C(=O)[NH]N=C([!#1])[CH2][CH2][CH2][CH2][CH3]
KR1368;[!#1]C(=O)[NH]N=C([!#1])[CH2][CH2][CH2][CH3]
KR1369;[!#1]C(=O)[NH]N=C([!#1])[CH2][CH2][CH3]
KR1370;[!#1]C(=O)[NH]N=C([!#1])[CH2][CH3]
KR1371;[!#1]C(=O)[NH]N=C([CH3])[CH]=[CH]c1[cH][cH][cH][cH][cH]1
KR1372;[!#1]C(=O)[NH]N=C([CH3])[CH]1[CH2][CH2]1
KR1373;[!#1]C(=O)[NH]N=C([CH3])[CH2][CH]([CH3])[CH3]
KR1374;[!#1]C(=O)[NH]N=C([CH3])[CH2][CH2][CH]=[CH2]
KR1375;[!#1]C(=O)[NH]N=C([CH3])[CH2][CH2][CH2][CH3]
KR1376;[!#1]C(=O)[NH]N=C([CH3])[CH2][NH]C(=O)[CH3]
KR1377;[!#1]C(=O)[NH]N=C([CH3])[CH2]C(=O)[CH3]
KR1378;[!#1]C(=O)[NH]N=C([CH3])[CH3]
KR1379;[!#1]C(=O)[NH]N=C([CH3])C(=N[OH])[CH3]
KR1380;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH][cH][cH]1
KR1381;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH][cH]c1[OH]
KR1382;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR1383;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]c([NH2])[cH]1
KR1384;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH][cH]o1
KR1385;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([!#1])[cH][cH]1
KR1386;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR1387;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2
KR1388;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([NH2])[cH][cH]1
KR1389;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c([OH])[cH][cH]1
KR1390;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Br)[cH][cH]1
KR1391;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Cl)[cH][cH]1
KR1392;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(Cl)s1
KR1393;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(F)[cH][cH]1
KR1394;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(O[CH3])[cH][cH]1
KR1395;[!#1]C(=O)[NH]N=C([CH3])c1[cH][cH]c(O[CH3])[cH]c1O[CH3]
KR1396;[!#1]C(=O)[NH]N=C([CH3])c1[cH]c([OH])[cH][cH]c1[OH]
KR1397;[!#1]C(=O)[NH]N=C1[CH2][CH2][CH2][CH2][CH2]1
KR1398;[!#1]C(=O)[NH]N=C1[CH2][CH2][CH2][CH2]1
KR1399;[!#1]C(=O)[NH]N=C1[CH2]C(=O)[CH2]C([CH3])([CH3])[CH2]1
KR1400;[!#1]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH][cH][cH]c12
KR1401;[!#1]C(=O)[NH]N=C1C(=O)[NH]c2[cH][cH]c([!#1])[cH]c12
KR1402;[!#1]C(=O)[NH]N=c1c(=O)c2[cH][cH][cH][cH]c2c1=O
KR1403;[!#1]C(=O)[NH]N=C1c2nn([!#1])nc2C(=N[NH]C(=O)[!#1])c3nn([!#1])nc13
KR1404;[!#1]C(=O)[NH]S(=O)(=O)[!#1]
KR1405;[!#1]C(=O)[NH2]
KR1406;[!#1]C(=O)[OH]
KR1407;[!#1]C(=O)C([!#1])([!#1])[CH3]
KR1408;[!#1]C(=O)C([!#1])([!#1])[OH]
KR1409;[!#1]C(=O)C([!#1])([!#1])C#N
KR1410;[!#1]C(=O)C([!#1])([!#1])C(=O)[!#1]
KR1411;[!#1]C(=O)C([CH2][CH3])([CH2][CH3])C(=O)[!#1]
KR1412;[!#1]C(=O)C([CH3])([CH3])[CH3]
KR1413;[!#1]C(=O)C([OH])(c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2
KR1414;[!#1]C(=O)C([OH])(c1[cH][cH]c(Br)[cH][cH]1)c2[cH][cH]c(Br)[cH][cH]2
KR1415;[!#1]C(=O)C(=N[NH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-])C(=O)[!#1]
KR1416;[!#1]C(=O)C(=N[NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[OH])C(=O)[!#1]
KR1417;[!#1]C(=O)C(=N[OH])C(=O)O[CH2][CH3]
KR1418;[!#1]C(=O)C(=O)[!#1]
KR1419;[!#1]C(=O)C(Cl)(Cl)Cl
KR1420;[!#1]C(=O)C(F)(F)C(F)(F)F
KR1421;[!#1]C(=O)C(F)(F)F
KR1422;[!#1]C(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
KR1423;[!#1]C(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
KR1424;[!#1]C(=O)C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KR1425;[!#1]C(=O)C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2][CH]([CH2]2)[CH2][CH2]3
KR1426;[!#1]C(=O)c1[cH][cH][cH][cH][cH]1
KR1427;[!#1]C(=O)c1[cH][cH][cH][cH]c1[!#1]
KR1428;[!#1]C(=O)c1[cH][cH][cH][cH]c1[CH3]
KR1429;[!#1]C(=O)c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KR1430;[!#1]C(=O)c1[cH][cH][cH][cH]c1[OH]
KR1431;[!#1]C(=O)c1[cH][cH][cH][cH]c1Br
KR1432;[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]
KR1433;[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[OH]
KR1434;[!#1]C(=O)c1[cH][cH][cH][cH]c1Cl
KR1435;[!#1]C(=O)c1[cH][cH][cH][cH]c1F
KR1436;[!#1]C(=O)c1[cH][cH][cH][cH]c1I
KR1437;[!#1]C(=O)c1[cH][cH][cH][cH]n1
KR1438;[!#1]C(=O)c1[cH][cH][cH]c([!#1])[cH]1
KR1439;[!#1]C(=O)c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR1440;[!#1]C(=O)c1[cH][cH][cH]c([cH]1)C(=O)[!#1]
KR1441;[!#1]C(=O)c1[cH][cH][cH]c([cH]1)S(=O)(=O)[!#1]
KR1442;[!#1]C(=O)c1[cH][cH][cH]c([CH3])[cH]1
KR1443;[!#1]C(=O)c1[cH][cH][cH]c(Br)[cH]1
KR1444;[!#1]C(=O)c1[cH][cH][cH]c(Cl)[cH]1
KR1445;[!#1]C(=O)c1[cH][cH][cH]c(F)[cH]1
KR1446;[!#1]C(=O)c1[cH][cH][cH]c(I)[cH]1
KR1447;[!#1]C(=O)c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR1448;[!#1]C(=O)c1[cH][cH][cH]n[cH]1
KR1449;[!#1]C(=O)c1[cH][cH][cH]o1
KR1450;[!#1]C(=O)c1[cH][cH][cH]s1
KR1451;[!#1]C(=O)c1[cH][cH][n+]([O-])[cH][cH]1
KR1452;[!#1]C(=O)c1[cH][cH]c([!#1])[cH][cH]1
KR1453;[!#1]C(=O)c1[cH][cH]c([!#1])c([cH]1)[N+](=O)[O-]
KR1454;[!#1]C(=O)c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR1455;[!#1]C(=O)c1[cH][cH]c([cH][cH]1)C([CH3])([CH3])[CH3]
KR1456;[!#1]C(=O)c1[cH][cH]c([cH][cH]1)C(=O)[!#1]
KR1457;[!#1]C(=O)c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2
KR1458;[!#1]C(=O)c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]
KR1459;[!#1]C(=O)c1[cH][cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-]
KR1460;[!#1]C(=O)c1[cH][cH]c([cH]c1C(=O)[OH])[N+](=O)[O-]
KR1461;[!#1]C(=O)c1[cH][cH]c([CH3])[cH][cH]1
KR1462;[!#1]C(=O)c1[cH][cH]c([CH3])c([cH]1)S(=O)(=O)[!#1]
KR1463;[!#1]C(=O)c1[cH][cH]c([OH])[cH][cH]1
KR1464;[!#1]C(=O)c1[cH][cH]c(Br)[cH][cH]1
KR1465;[!#1]C(=O)c1[cH][cH]c(Br)c([cH]1)[N+](=O)[O-]
KR1466;[!#1]C(=O)c1[cH][cH]c(Br)o1
KR1467;[!#1]C(=O)c1[cH][cH]c(Cl)[cH][cH]1
KR1468;[!#1]C(=O)c1[cH][cH]c(Cl)[cH]c1Cl
KR1469;[!#1]C(=O)c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]
KR1470;[!#1]C(=O)c1[cH][cH]c(Cl)c(Cl)[cH]1
KR1471;[!#1]C(=O)c1[cH][cH]c(F)[cH][cH]1
KR1472;[!#1]C(=O)c1[cH][cH]c(F)c(F)[cH]1
KR1473;[!#1]C(=O)c1[cH][cH]c(o1)[N+](=O)[O-]
KR1474;[!#1]C(=O)c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
KR1475;[!#1]C(=O)c1[cH][cH]c2n([!#1])c([CH3])c([CH3])c2[cH]1
KR1476;[!#1]C(=O)c1[cH][cH]n[cH][cH]1
KR1477;[!#1]C(=O)c1[cH]c([cH][cH]c1Cl)[N+](=O)[O-]
KR1478;[!#1]C(=O)c1[cH]c([cH]c([cH]1)[N+](=O)[O-])[N+](=O)[O-]
KR1479;[!#1]C(=O)c1[cH]c([cH]c([cH]1)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]
KR1480;[!#1]C(=O)c1[cH]c([N+](=O)[O-])c([CH3])c([cH]1)[N+](=O)[O-]
KR1481;[!#1]C(=O)c1[cH]c(Cl)[cH][cH]c1[OH]
KR1482;[!#1]C(=O)c1[cH]c(Cl)[cH]c(Cl)[cH]1
KR1483;[!#1]C(=O)c1[cH]c2[cH][cH][cH][cH]c2oc1=O
KR1484;[!#1]C(=O)c1[cH]n([!#1])nc1[!#1]
KR1485;[!#1]C(=O)c1c([!#1])[cH]nn1[!#1]
KR1486;[!#1]C(=O)c1c([!#1])n([!#1])c2nc3[cH][cH][cH][cH]c3nc12
KR1487;[!#1]C(=O)c1c([cH][cH][cH]c1[N+](=O)[O-])C(=O)[OH]
KR1488;[!#1]C(=O)c1c([cH]nn1[!#1])[N+](=O)[O-]
KR1489;[!#1]C(=O)c1c([OH])c2[cH][cH][cH][cH]c2oc1=O
KR1490;[!#1]C(=O)c1c(F)[cH][cH][cH]c1F
KR1491;[!#1]C(=O)c1c(n[cH]n1[!#1])[N+](=O)[O-]
KR1492;[!#1]C(=O)c1n[cH][cH]nc1C(=O)[OH]
KR1493;[!#1]C(=O)c1nn([!#1])[cH]c1Br
KR1494;[!#1]C(=O)c1sc([!#1])nc1[!#1]
KR1495;[!#1]C(=O)c1sc2[cH][cH][cH][cH]c2c1Cl
KR1496;[!#1]C(=O)N([CH]([CH3])[CH3])[CH]([CH3])[CH3]
KR1497;[!#1]C(=O)N([CH2][CH2][CH2][CH2][CH3])[CH2][CH2][CH2][CH2][CH3]
KR1498;[!#1]C(=O)N([CH2][CH2]C(=O)[OH])[CH2]C(=O)[OH]
KR1499;[!#1]C(=O)N([CH2][CH3])[CH2][CH3]
KR1500;[!#1]C(=O)N([CH3])[CH3]
KR1501;[!#1]C(=O)n1[cH]nc2[cH][cH][cH][cH]c12
KR1502;[!#1]C(=O)N1[CH2][CH2][CH2][CH2][CH2][CH2]1
KR1503;[!#1]C(=O)N1[CH2][CH2][CH2][CH2][CH2]1
KR1504;[!#1]C(=O)N1[CH2][CH2][CH2][CH2]1
KR1505;[!#1]C(=O)N1[CH2][CH2]c2[cH][cH][cH][cH]c12
KR1506;[!#1]C(=O)N1[CH2][CH2]O[CH2][CH2]1
KR1507;[!#1]C(=O)n1nnc2[cH][cH][cH][cH]c12
KR1508;[!#1]C(=O)O[CH]([CH3])[CH3]
KR1509;[!#1]C(=O)O[CH]([CH3])C(=C(Cl)Cl)Cl
KR1510;[!#1]C(=O)O[CH2][CH]([CH3])[CH3]
KR1511;[!#1]C(=O)O[CH2][CH2][CH2][CH2][CH2][CH3]
KR1512;[!#1]C(=O)O[CH2][CH2][CH2][CH2][CH3]
KR1513;[!#1]C(=O)O[CH2][CH2][CH2][CH3]
KR1514;[!#1]C(=O)O[CH2][CH2][CH2]N([CH3])[CH3]
KR1515;[!#1]C(=O)O[CH2][CH2][CH3]
KR1516;[!#1]C(=O)O[CH2][CH2][NH2]
KR1517;[!#1]C(=O)O[CH2][CH2][OH]
KR1518;[!#1]C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR1519;[!#1]C(=O)O[CH2][CH2]N([CH3])[CH3]
KR1520;[!#1]C(=O)O[CH2][CH3]
KR1521;[!#1]C(=O)O[CH2]C#[CH]
KR1522;[!#1]C(=O)O[CH2]C(=C(Cl)Cl)Cl
KR1523;[!#1]C(=O)O[CH2]C(F)(F)C(F)(F)F
KR1524;[!#1]C(=O)O[CH3]
KR1525;[!#1]C(=O)OC([CH3])([CH3])[CH3]
KR1526;[!#1]C(=O)ON=[CH]c1[cH][cH]c(Br)[cH][cH]1
KR1527;[!#1]C(=O)ON=C([CH3])C([CH3])([CH3])[CH3]
KR1528;[!#1]C(=O)ON=C([CH3])c1[cH][cH][cH][cH][cH]1
KR1529;[!#1]C(=S)[NH][CH2]C(=[CH2])[CH3]
KR1530;[!#1]C(=S)[NH2]
KR1531;[!#1]C(=S)S[CH2][CH2]C(=O)[OH]
KR1532;[!#1]C(Cl)(Cl)Cl
KR1533;[!#1]C(F)(F)[CH](F)F
KR1534;[!#1]C(F)(F)C(F)(F)[CH](F)F
KR1535;[!#1]C(F)(F)C(F)(F)F
KR1536;[!#1]C(F)(F)F
KR1537;[!#1]C1([!#1])[CH]2[CH2][CH2]C([CH3])(C1=O)C2([CH3])[CH3]
KR1538;[!#1]C1([!#1])[CH2][CH2][CH2][CH2][CH2]1
KR1539;[!#1]C1([!#1])[CH2][CH2][CH2][CH2]1
KR1540;[!#1]C1([!#1])C(=NN(C1=O)c2[cH][cH]c([cH][cH]2)[N+](=O)[O-])[CH3]
KR1541;[!#1]C1([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O
KR1542;[!#1]C1([!#1])C(=O)c2[cH][cH][cH][cH]c2C1=O
KR1543;[!#1]C1([!#1])C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([cH][cH]3)[N+](=O)[O-]
KR1544;[!#1]C1([!#1])C(=O)OC([CH3])([CH3])OC1=O
KR1545;[!#1]C1([!#1])S(c2[cH][cH][cH][cH]c2C1=O)
KR1546;[!#1]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KR1547;[!#1]C1([CH2][CH]2[CH2][CH]3[CH2][CH]2[CH2]1)[CH2]3
KR1548;[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2][CH]([CH2]2)[CH2][CH2]3
KR1549;[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2]C([!#1])([CH2]2)[CH2]3
KR1550;[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2]C([OH])([CH2]2)[CH2]3
KR1551;[!#1]C1([CH2][CH3])C(=[NH])[NH]C(=O)[NH]C1=O
KR1552;[!#1]C1([CH2]N2[CH2]N3[CH2]1)C(=O)C([!#1])([CH2]2)[CH2]3
KR1553;[!#1]C1([CH3])O[CH2][CH2]O1
KR1554;[!#1]C1([OH])[CH2][CH2][CH2][CH2][CH2]1
KR1555;[!#1]C1([OH])[CH2][CH2][CH2][CH2]1
KR1556;[!#1]C1([OH])C(=O)[NH]c2[cH][cH][cH][cH]c21
KR1557;[!#1]C1([OH])N(C(=O)[NH]c2[cH][cH][cH][cH]c21)c3[cH][cH][cH][cH][cH]3
KR1558;[!#1]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3
KR1559;[!#1]C1(C(=O)N(c2[cH][cH][cH][cH]c21)c3[cH][cH][cH][cH][cH]3)C(F)(F)F
KR1560;[!#1]C1(F)OC([!#1])(F)C([!#1])(F)C1([!#1])F
KR1561;[!#1]C1(F)OC(F)(F)C(F)(F)C1(F)F
KR1562;[!#1]C1(O[CH]2[CH]=[CH]1)[CH]3[CH]2C(=O)N(C3=O)c4[cH][cH][cH][cH][cH]4
KR1563;[!#1]C1(Oc2[cH][cH][cH][cH]c2O1)C(Cl)(Cl)Cl
KR1564;[!#1]c1[cH][cH][cH][cH][cH]1
KR1565;[!#1]c1[cH][cH][cH][cH][n+]1[!#1]
KR1566;[!#1]c1[cH][cH][cH][cH]c1[!#1]
KR1567;[!#1]c1[cH][cH][cH][cH]c1[CH2][CH3]
KR1568;[!#1]c1[cH][cH][cH][cH]c1[CH3]
KR1569;[!#1]c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KR1570;[!#1]c1[cH][cH][cH][cH]c1[NH2]
KR1571;[!#1]c1[cH][cH][cH][cH]c1[OH]
KR1572;[!#1]c1[cH][cH][cH][cH]c1Br
KR1573;[!#1]c1[cH][cH][cH][cH]c1C#N
KR1574;[!#1]c1[cH][cH][cH][cH]c1C(=O)[CH3]
KR1575;[!#1]c1[cH][cH][cH][cH]c1C(=O)[OH]
KR1576;[!#1]c1[cH][cH][cH][cH]c1C(=O)c2[cH]c([!#1])nnc2[!#1]
KR1577;[!#1]c1[cH][cH][cH][cH]c1C(F)(F)F
KR1578;[!#1]c1[cH][cH][cH][cH]c1c2[cH][cH][cH][cH][cH]2
KR1579;[!#1]c1[cH][cH][cH][cH]c1c2[cH][cH][cH][cH]c2[!#1]
KR1580;[!#1]c1[cH][cH][cH][cH]c1c2n[nH]c(=S)[nH]c2=O
KR1581;[!#1]c1[cH][cH][cH][cH]c1c2nc3[cH][cH][cH][cH]c3c(=O)[nH]2
KR1582;[!#1]c1[cH][cH][cH][cH]c1c2nc3[cH][cH][cH][cH]c3s2
KR1583;[!#1]c1[cH][cH][cH][cH]c1Cl
KR1584;[!#1]c1[cH][cH][cH][cH]c1F
KR1585;[!#1]c1[cH][cH][cH][cH]c1I
KR1586;[!#1]c1[cH][cH][cH][cH]c1N2C(=O)[CH]=[CH]C2=O
KR1587;[!#1]c1[cH][cH][cH][cH]c1N2C(=O)[CH]3[CH]([CH]([CH]=[CH][CH]3c4[cH][cH][cH][cH][cH]4)c5[cH][cH][cH][cH][cH]5)C2=O
KR1588;[!#1]c1[cH][cH][cH][cH]c1O[CH3]
KR1589;[!#1]c1[cH][cH][cH][cH]n1
KR1590;[!#1]c1[cH][cH][cH][nH]1
KR1591;[!#1]c1[cH][cH][cH]c([!#1])[cH]1
KR1592;[!#1]c1[cH][cH][cH]c([!#1])c1[!#1]
KR1593;[!#1]c1[cH][cH][cH]c([!#1])c1n2nnnc2C3([!#1])[CH2][CH2][CH2][CH2][CH2]3
KR1594;[!#1]c1[cH][cH][cH]c([!#1])n1
KR1595;[!#1]c1[cH][cH][cH]c([CH]=[CH]C(=O)[OH])[cH]1
KR1596;[!#1]c1[cH][cH][cH]c([cH]1)[CH]2[CH2]C(=N[CH2][CH2]S2)c3c([!#1])[cH]c([!#1])oc3=O
KR1597;[!#1]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR1598;[!#1]c1[cH][cH][cH]c([cH]1)C(=O)[CH3]
KR1599;[!#1]c1[cH][cH][cH]c([cH]1)C(=O)[OH]
KR1600;[!#1]c1[cH][cH][cH]c([cH]1)C(F)(F)F
KR1601;[!#1]c1[cH][cH][cH]c([cH]1)c2[cH]nc3[cH][cH][cH][cH]c3n2
KR1602;[!#1]c1[cH][cH][cH]c([cH]1)c2nc3[cH][cH][cH][cH]c3o2
KR1603;[!#1]c1[cH][cH][cH]c([cH]1)c2nc3[cH]c([!#1])[cH][cH]c3o2
KR1604;[!#1]c1[cH][cH][cH]c([cH]1)N2[CH2][CH2][CH2]C2=O
KR1605;[!#1]c1[cH][cH][cH]c([cH]1)N2C(=O)c3[cH][cH][cH][cH]c3C2=O
KR1606;[!#1]c1[cH][cH][cH]c([cH]1)S(=O)(=O)[!#1]
KR1607;[!#1]c1[cH][cH][cH]c([CH2][CH3])[cH]1
KR1608;[!#1]c1[cH][cH][cH]c([CH2][OH])[cH]1
KR1609;[!#1]c1[cH][cH][cH]c([CH3])[cH]1
KR1610;[!#1]c1[cH][cH][cH]c([CH3])c1[CH3]
KR1611;[!#1]c1[cH][cH][cH]c([CH3])n1
KR1612;[!#1]c1[cH][cH][cH]c([N+](=O)[O-])c1[!#1]
KR1613;[!#1]c1[cH][cH][cH]c([NH2])[cH]1
KR1614;[!#1]c1[cH][cH][cH]c([OH])[cH]1
KR1615;[!#1]c1[cH][cH][cH]c(Br)[cH]1
KR1616;[!#1]c1[cH][cH][cH]c(Cl)[cH]1
KR1617;[!#1]c1[cH][cH][cH]c(Cl)c1[CH3]
KR1618;[!#1]c1[cH][cH][cH]c(Cl)c1Cl
KR1619;[!#1]c1[cH][cH][cH]c(F)[cH]1
KR1620;[!#1]c1[cH][cH][cH]c(I)[cH]1
KR1621;[!#1]c1[cH][cH][cH]c(O[CH3])[cH]1
KR1622;[!#1]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR1623;[!#1]c1[cH][cH][cH]c2[cH][cH][cH]c([!#1])c12
KR1624;[!#1]c1[cH][cH][cH]c2[cH][cH][cH]nc12
KR1625;[!#1]c1[cH][cH][cH]c2[CH2][CH2][CH2][CH2]c12
KR1626;[!#1]c1[cH][cH][cH]c2c([!#1])[cH][cH][cH]c12
KR1627;[!#1]c1[cH][cH][cH]c2c(=O)[nH][nH]c(=O)c12
KR1628;[!#1]c1[cH][cH][cH]c2C(=O)c3[cH][cH][cH][cH]c3C(=O)c12
KR1629;[!#1]c1[cH][cH][cH]c2C(=O)c3[cH][cH][cH]c([!#1])c3C(=O)c12
KR1630;[!#1]c1[cH][cH][cH]c2c3[CH2][CH2][CH2][CH2]c3oc12
KR1631;[!#1]c1[cH][cH][cH]c2n[cH][cH][cH]c12
KR1632;[!#1]c1[cH][cH][cH]c2nsnc12
KR1633;[!#1]c1[cH][cH][cH]n[cH]1
KR1634;[!#1]c1[cH][cH][cH]nc1[!#1]
KR1635;[!#1]c1[cH][cH][cH]nc1c2[cH]c([!#1])c([!#1])c([!#1])[cH]2
KR1636;[!#1]c1[cH][cH][cH]nc1c2n[cH][cH][cH]c2[!#1]
KR1637;[!#1]c1[cH][cH][cH]o1
KR1638;[!#1]c1[cH][cH][cH]s1
KR1639;[!#1]c1[cH][cH][n+]([!#1])[cH][cH]1
KR1640;[!#1]c1[cH][cH][n+]([!#1])c2[cH][cH][cH][cH]c12
KR1641;[!#1]c1[cH][cH][n+]([O-])[cH][cH]1
KR1642;[!#1]c1[cH][cH]c([!#1])[cH][cH]1
KR1643;[!#1]c1[cH][cH]c([!#1])[cH]c1S(=O)(=O)c2[cH]c([!#1])[cH][cH]c2[!#1]
KR1644;[!#1]c1[cH][cH]c([!#1])[n+]([!#1])[cH]1
KR1645;[!#1]c1[cH][cH]c([!#1])c([!#1])[cH]1
KR1646;[!#1]c1[cH][cH]c([!#1])c([!#1])c1[!#1]
KR1647;[!#1]c1[cH][cH]c([!#1])c([!#1])n1
KR1648;[!#1]c1[cH][cH]c([!#1])c([cH]1)[N+](=O)[O-]
KR1649;[!#1]c1[cH][cH]c([!#1])c([cH]1)C(=O)[OH]
KR1650;[!#1]c1[cH][cH]c([!#1])c([cH]1)c2[cH][cH][cH][cH][cH]2
KR1651;[!#1]c1[cH][cH]c([!#1])c([cH]1)c2nc3[cH][cH][cH][cH]c3s2
KR1652;[!#1]c1[cH][cH]c([!#1])c([CH3])[cH]1
KR1653;[!#1]c1[cH][cH]c([!#1])c([OH])[cH]1
KR1654;[!#1]c1[cH][cH]c([!#1])c(Cl)[cH]1
KR1655;[!#1]c1[cH][cH]c([!#1])c2[cH][cH][cH][cH]c12
KR1656;[!#1]c1[cH][cH]c([!#1])c2c([!#1])[cH][cH][cH]c12
KR1657;[!#1]c1[cH][cH]c([!#1])c2n[cH][cH][cH]c12
KR1658;[!#1]c1[cH][cH]c([!#1])c2nonc12
KR1659;[!#1]c1[cH][cH]c([!#1])n[cH]1
KR1660;[!#1]c1[cH][cH]c([!#1])n1c2[cH][cH]c([!#1])[cH][cH]2
KR1661;[!#1]c1[cH][cH]c([!#1])nn1
KR1662;[!#1]c1[cH][cH]c([!#1])o1
KR1663;[!#1]c1[cH][cH]c([!#1])s1
KR1664;[!#1]c1[cH][cH]c([cH][cH]1)[CH]([CH3])[CH3]
KR1665;[!#1]c1[cH][cH]c([cH][cH]1)[CH]2[CH]3[CH2][CH]4[CH2][CH]([CH2]3)[CH2][CH]2[CH2]4
KR1666;[!#1]c1[cH][cH]c([cH][cH]1)[CH]2[CH2][CH2][CH2][CH2][CH2]2
KR1667;[!#1]c1[cH][cH]c([cH][cH]1)[CH]2[NH]c3[cH][cH]c4n[cH][cH][cH]c4c3C5=C2C(=O)[CH2][CH2][CH2]5
KR1668;[!#1]c1[cH][cH]c([cH][cH]1)[CH]2N([CH2][CH2]N2c3[cH][cH][cH][cH][cH]3)c4[cH][cH][cH][cH][cH]4
KR1669;[!#1]c1[cH][cH]c([cH][cH]1)[CH]2N=NC(=[CH][CH]2c3[cH][cH][cH][cH][cH]3)[CH]4C(=O)c5[cH][cH][cH][cH]c5C4=O
KR1670;[!#1]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR1671;[!#1]c1[cH][cH]c([cH][cH]1)[NH](=O)[OH]
KR1672;[!#1]c1[cH][cH]c([cH][cH]1)C([!#1])([CH3])[CH3]
KR1673;[!#1]c1[cH][cH]c([cH][cH]1)C([CH3])([CH3])[CH3]
KR1674;[!#1]c1[cH][cH]c([cH][cH]1)C(=N[NH]c2[cH][cH]c([cH]c2[N+](=O)[O-])[N+](=O)[O-])[CH3]
KR1675;[!#1]c1[cH][cH]c([cH][cH]1)C(=N[OH])[CH3]
KR1676;[!#1]c1[cH][cH]c([cH][cH]1)C(=O)[CH3]
KR1677;[!#1]c1[cH][cH]c([cH][cH]1)C(=O)[OH]
KR1678;[!#1]c1[cH][cH]c([cH][cH]1)C(=O)C(=O)c2[cH][cH][cH][cH][cH]2
